Date,AAPL,AMGN,AMZN,AXP,BA,BTC-USD,CAT,CRM,CSCO,CVX,DIS,GC=F,GLD,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT,^IRX,^TNX
2022-08-23,164.471756,220.6010284,133.6199951,150.9934387,160.0700073,21528.08789,186.1281586,174.1678925,43.0301857,141.7120056,112.9766006,1746.800049,162.7700043,312.6304932,282.6369324,173.6994781,119.343071,150.6747131,106.3373871,58.29625702,241.839859,104.7905731,81.81634521,269.2262268,105.004509,17.15528297,134.8111572,231.1380615,157.9245605,507.4733276,201.7274475,34.93154526,42.98805618,2.703000069,3.053999901
2022-08-24,164.766861,220.6190643,133.8000031,152.7209167,163.6000061,21395.01953,183.2495422,178.1361542,42.72159195,142.7617645,114.5011902,1747.800049,163.25,314.2480164,283.7512512,173.9105225,118.0055923,150.1758423,106.5951538,58.37790298,242.1368256,104.2657013,81.64402008,268.5932007,105.6970596,17.19622231,134.2312775,232.5457764,158.1122437,508.0984802,201.6006927,34.99582291,43.29922867,2.713000059,3.105999947
2022-08-25,167.2256012,221.6928711,137.2799988,155.6960907,169.3800049,21600.9043,187.7043152,172.0996552,42.90312576,144.0127563,115.5339737,1757.699951,163.75,318.4294434,285.2891541,176.231781,118.6699066,151.5816956,109.1265411,58.65908051,243.7148438,105.5372314,81.87983704,271.5733337,107.4142456,17.88619041,134.1207581,237.4000092,158.572052,512.9384766,204.6733856,35.14850998,43.58795929,2.730000019,3.026000023
2022-08-26,160.9213409,217.1539764,130.75,150.9742432,164.5299988,20260.01953,181.135437,163.5100098,41.65060806,142.9542236,112.1995544,1736.099976,161.7599945,309.1565552,274.5326233,169.7515717,115.4812775,148.9877472,105.5549545,57.2440834,238.5075226,95.46846008,80.96372223,261.0941162,102.727562,16.23566437,130.9817657,228.8274841,156.563858,501.2697144,197.9133759,34.75475693,42.21811676,2.755000114,3.035000086
2022-08-29,158.7183075,216.0079803,129.7899933,148.3157806,165.4199982,20297.99414,181.0032959,158.5422821,41.48724365,144.0215302,111.6684036,1736.599976,161.8600006,306.877533,272.8933716,169.1888275,115.4192963,147.8358765,105.2972183,56.89940262,237.3101349,93.47244263,79.44892883,258.3087463,102.3480835,15.77735043,130.4294586,227.1867371,155.1750336,501.7622375,197.3671265,34.81904602,42.62874222,2.798000097,3.109999895
2022-08-30,156.2890015,215.7733612,128.7299957,148.430954,162.2100067,19796.80859,176.4352722,158.0079041,41.0606575,140.513504,110.586441,1723.199951,160.5099945,306.6109924,269.927948,167.6764832,114.7727051,147.3188934,105.3156357,56.3733139,235.2958374,92.30442047,78.80492401,256.1077881,102.3291092,15.44484997,129.039444,228.1478729,153.3920746,495.1986389,196.4404144,34.17617798,42.50042343,2.872999907,3.109999895
2022-08-31,154.6268921,216.83815,126.7699966,145.8780975,160.25,20049.76367,174.3305664,154.494812,40.58869553,138.2739716,110.2421799,1712.800049,159.2700043,308.0369873,267.3509827,166.4894867,113.7718506,146.3303375,104.6896896,55.9742012,235.4544983,91.92739868,77.42620087,254.6468811,100.9914017,15.07141018,126.9774933,225.3324585,151.6841278,491.874176,193.8358917,33.59760666,42.52288437,2.859999895,3.132999897
2022-09-01,155.3547058,221.5304413,127.8199997,145.0239258,153.6600037,20127.14063,172.1881561,151.9317932,41.10604095,136.069397,110.6848068,1696.599976,157.8699951,308.8055115,271.9393616,167.7028656,114.8435669,149.9581909,105.4076996,56.23725891,239.3650818,92.87364197,79.04984283,253.6047821,101.0293579,13.9161396,128.5423889,225.5557404,153.2418976,496.2972412,195.2210846,33.59760666,43.14204025,2.862999916,3.265000105
2022-09-02,153.2401428,218.7060547,127.5100021,143.7570953,151.8200073,19969.77148,170.6686096,152.0901489,40.47070313,138.0902252,109.3766098,1709.800049,159.2599945,306.9350891,270.5768433,164.3264771,113.1872635,147.6000977,104.6712723,55.466259,237.5357971,89.93138885,78.21536255,249.3780212,100.605957,13.62657356,126.2594833,225.0508881,152.6788635,489.0516663,192.9092102,33.18777847,42.66724014,2.819999933,3.193000078
2022-09-06,151.9812622,218.5707245,126.1100006,142.6150513,152.3899994,18837.66797,170.5081482,150.140625,40.36180115,137.4516144,108.2848129,1700.400024,158.3300018,302.3145142,268.3891602,163.1922302,112.2395325,147.9991455,104.6988907,55.49346924,237.4237671,86.19811249,78.38768768,246.6413574,100.0446091,13.44484711,124.8510666,221.7209473,151.9093933,490.3114014,193.7676392,33.02706528,42.455513,2.845000029,3.339999914
2022-09-07,153.3876648,220.8897705,129.4799957,146.1180267,155.9499969,19290.32422,170.6969299,151.6844177,40.8609848,135.6932526,110.8421936,1715.300049,159.9400024,306.0831909,275.7399292,166.260849,113.116394,148.8063507,106.6872025,56.51843643,241.1850128,89.11818695,78.79586792,251.355072,103.2129288,13.69754124,126.7381516,231.6914673,153.9175568,494.099884,195.503952,33.01099396,43.54624939,2.933000088,3.265000105
2022-09-08,151.9124146,221.485321,129.8200073,147.3368683,157.7899933,19329.83398,172.8582153,155.2667236,41.17864609,136.4280853,110.4880829,1708.0,158.9799957,310.5462646,277.9924316,165.1441803,113.7895355,150.0035248,109.1725693,56.34610367,242.734314,88.17192078,79.29473114,251.7738495,103.4507904,13.97321129,126.9038315,233.7593231,155.2577209,499.6217651,195.7868958,33.20384598,43.76760101,2.950000048,3.292000055
2022-09-09,154.7744446,223.5066528,133.2700043,152.0587311,157.5200043,21381.15234,178.84198,160.8975067,41.54169464,139.94487,113.2913513,1716.199951,159.8200073,314.9168091,277.8718567,168.5469513,114.4272614,150.2937622,109.697258,56.52750778,242.2116241,91.00330353,79.2221756,257.5588379,105.582016,14.36973572,128.8369598,233.3418884,154.9179382,498.1775513,200.1667328,33.94314194,43.8991394,2.967999935,3.321000099
2022-09-12,160.7344513,214.4198456,136.4499969,155.9072266,158.7200012,22370.44922,181.5884399,163.9058533,42.11349487,142.1581726,114.4815063,1728.099976,160.6300049,317.2130737,275.8047791,168.8459167,115.7292938,150.2302856,110.9951935,56.69078064,243.0049438,91.85347748,79.9659729,259.6917114,106.9235764,14.4875946,129.8863373,235.8855133,156.0315857,504.7427368,201.5616455,34.36099243,44.29373169,2.994999886,3.361999989
2022-09-13,151.3026581,204.7103882,126.8199997,149.0932007,147.3099976,20296.70703,173.9530334,156.4542389,40.03505325,139.4549561,109.9274368,1705.0,158.5399933,304.0739136,257.6273193,162.6470642,112.7089462,146.3212585,107.138237,54.8494606,237.3677673,89.05903625,78.26068878,245.4142456,100.586937,13.11524296,127.1984253,224.1286163,153.0965118,488.3155212,194.7723694,33.54938507,43.37943268,3.153000116,3.421999931
2022-09-14,152.7483978,205.8473511,128.5500031,150.0049133,149.2599945,20241.08984,174.2739105,158.611557,39.89890289,142.8317719,110.655304,1696.5,157.9299927,303.0275269,256.1534119,158.2419586,113.0986786,149.3414764,106.8897018,55.13971329,238.6650696,86.88561249,79.50422668,245.6382446,101.8047714,13.11224651,127.5021591,219.2646637,154.0591431,484.3345032,194.5187225,33.17170715,43.28318405,3.128000021,3.411999941
2022-09-15,149.8568878,205.4322662,126.2799988,149.8417664,149.7799988,19701.21094,172.2353058,153.168808,39.290802,140.513504,108.9536667,1665.400024,154.9799957,307.0647278,251.7040863,155.507431,111.1500778,149.7223816,108.5005798,54.39051437,236.5651398,86.06504059,79.3213501,238.9767303,100.3776016,12.91348648,126.5172348,217.3424225,154.9273987,496.8188477,190.5778351,32.97080994,42.8180275,3.095000029,3.459000111
2022-09-16,148.2144318,208.5725098,123.5299988,146.914566,144.2899933,19772.58398,169.3850098,149.9328308,39.29987717,136.8654938,106.4749832,1671.699951,155.8399963,302.0553284,255.8105011,155.9382477,112.7266769,152.0079651,107.7733917,54.39964676,237.9091034,86.20549774,80.20830536,238.3534393,99.06460571,13.18216324,127.290451,215.0997772,153.2003174,495.0231934,188.5586243,33.14760208,42.72820282,3.069999933,3.447999954
2022-09-19,151.9320679,208.2295837,124.6600037,149.1027679,144.8800049,19544.12891,171.8766632,151.23909,39.29987717,137.2591705,107.3798981,1666.199951,155.9600067,304.3238831,259.9354248,157.0637207,113.1341095,150.8107758,108.7675476,54.81080246,239.8690491,86.22768402,79.22078705,238.1391907,102.0045853,13.365942,127.0235214,216.6725159,155.0500641,497.427002,188.3927612,33.1395607,43.09391403,3.035000086,3.49000001
2022-09-20,154.3121338,205.4773712,122.1900024,147.2984924,145.9400024,18890.78906,167.9881897,148.2406311,38.64639282,136.7167969,105.8061371,1659.699951,155.0700073,299.3237,254.1419678,155.639328,111.8675308,149.6226501,106.6227493,54.72856522,238.3664093,86.13894653,78.6355896,236.1231842,97.44715881,13.16018867,126.5724487,212.4493866,151.897934,496.714386,187.3587952,32.61724472,42.84368134,3.243000031,3.571000099
2022-09-21,151.1846313,202.5447083,118.5400009,142.7205963,143.2899933,18547.40039,162.2875824,146.0932159,37.74785614,135.6057434,102.7766342,1664.599976,155.7899933,296.9625244,251.7319183,153.2565002,110.654068,148.089859,103.5482559,54.27173615,234.3345337,84.87482452,77.29147339,232.7145081,94.94487,13.24508858,124.9431229,207.6048584,148.2266846,486.5293274,182.4326324,31.72527122,43.23506927,3.190000057,3.50999999
2022-09-22,150.2207794,205.5134888,117.3099976,137.2693787,138.7100067,19413.55078,160.9662628,148.5869751,37.34850693,135.5007477,100.484848,1670.800049,155.6999969,289.7493896,249.4794006,152.3332672,110.9906464,150.7200623,102.3699951,54.14382172,231.4039612,84.37950897,80.0162735,234.6915283,93.76506042,12.54592609,125.3849792,201.9837341,148.1700592,491.6408997,181.2328033,32.0868721,42.7923584,3.130000114,3.707999945
2022-09-23,147.9488678,204.8096619,113.7799988,134.6109314,131.2599945,19297.63867,155.0108185,145.4796753,36.90376663,126.6476288,97.86846161,1645.300049,153.0099945,279.6101379,251.1479034,150.6890259,108.6877441,151.2098236,100.4645309,53.54080582,229.5466614,83.52935791,79.34879303,231.7113953,92.30935669,12.50097942,124.8050385,205.0612793,146.7355499,487.9829407,179.4477081,31.75740814,41.7240715,3.10800004,3.697000027
2022-09-26,148.2832642,204.7193604,115.1500015,131.9141083,127.3399963,19222.67188,153.4818573,144.7968903,36.83116531,123.3145676,96.51109314,1623.300049,151.2299957,272.8044128,247.106369,149.5372009,108.0677338,150.2846832,98.3013382,52.8738327,227.5027161,83.53675079,78.80016327,231.2536774,91.39595032,12.21332741,124.9247208,202.9059601,142.1300201,482.994873,176.1603699,31.28329659,42.12508011,3.164999962,3.878000021
2022-09-27,149.2569275,203.9253235,114.4100037,131.9524689,127.5100021,19110.54688,153.3119965,147.3400879,36.77669907,123.3670425,94.27830505,1626.699951,151.5399933,269.8043823,249.0622864,149.5372009,107.828598,149.5953979,97.43605042,51.51246643,220.9135895,83.10058594,78.4892807,230.2408142,91.61479187,12.39810467,121.4911346,202.4788055,142.734024,483.004364,173.5070801,31.25115013,42.00959015,3.25,3.963999987
2022-09-28,147.3686066,208.4281158,118.0100021,134.8988342,133.4400024,19426.7207,158.3330536,148.6067657,37.52094269,127.531189,97.77010345,1660.400024,154.6900024,278.5175781,261.5761414,152.8432312,108.7320328,150.8833008,99.40596008,52.06066132,221.137619,84.48301697,79.34879303,234.7792358,93.90776062,12.72071648,121.4911346,206.8573151,144.3195648,488.2964478,174.7849426,31.65294075,42.70252991,3.230000019,3.704999924
2022-09-29,140.1300049,206.1090393,114.8000031,132.2404175,125.3300018,19573.05078,156.5775757,145.2817535,36.8220787,126.6476288,95.85206604,1658.5,154.6600037,274.184082,257.9980469,149.5372009,107.731163,149.2235565,97.72143555,51.68606186,218.7669678,83.01927948,79.22078705,231.3023834,90.70140076,12.20533752,118.4718094,201.7798157,145.9805298,483.4414673,175.6433563,31.05026054,42.42663193,3.217999935,3.746999979
