Date,AAPL.1,AMGN.1,AMZN.1,AXP.1,BA.1,BTC-USD.1,CAT.1,CRM.1,CSCO.1,CVX.1,DIS.1,GC=F.1,GLD.1,GS.1,HD.1,HON.1,IBM.1,JNJ.1,JPM.1,KO.1,MCD.1,MMM.1,MRK.1,MSFT.1,NKE.1,NVDA.1,PG.1,SHW.1,TRV.1,UNH.1,V.1,VZ.1,WMT.1,^IRX.1,^TNX.1
2015-03-16,143497200.0,5201600.0,47082000.0,5295100.0,2742900.0,21516100,3598500.0,4538900.0,25358900.0,6780200.0,6407300.0,56.0,3265300.0,2127700.0,4820300.0,2488989.0,3922082.0,7726500.0,15182900.0,15238800.0,4772200.0,2524995.0,12073798.0,35273500.0,8497000.0,236956000.0,15618300.0,1801200.0,2020800.0,4692200.0,9849600.0,16111200.0,19557300.0,0.0,0.0
2015-03-17,204092400.0,2620800.0,40740000.0,4258200.0,2927200.0,21497200,6979900.0,5594700.0,21895700.0,7097500.0,4489400.0,71.0,8923300.0,1883200.0,3715900.0,2058744.0,3464038.0,7301500.0,11718300.0,21661800.0,4530700.0,3059248.0,10479371.0,31673400.0,6408200.0,299900000.0,7509300.0,1706400.0,1663000.0,3303500.0,14290800.0,15679200.0,14406000.0,0.0,0.0
2015-03-18,261083600.0,3690100.0,53082000.0,6449400.0,4053600.0,57008000,12154300.0,5576600.0,34910900.0,11059700.0,5520600.0,112.0,12448000.0,2790100.0,4773600.0,3292833.0,6002785.0,7972500.0,15697900.0,26247500.0,5831000.0,3662630.0,15645068.0,44194800.0,8855600.0,413844000.0,12607900.0,3720600.0,2426400.0,5533500.0,50658000.0,17978300.0,30756900.0,0.0,0.0
2015-03-19,183238000.0,3756600.0,38314000.0,4677000.0,2539000.0,52732000,5236200.0,3883100.0,27980400.0,7841900.0,4885600.0,39.0,6537700.0,2097100.0,3545600.0,2490770.0,4057016.0,6863100.0,11523800.0,16057600.0,3615400.0,2336386.0,15149783.0,33879100.0,13536000.0,310756000.0,9257500.0,2574600.0,1448500.0,4032500.0,15407500.0,13625000.0,21638700.0,0.0,0.0
2015-03-20,274780400.0,9040600.0,75272000.0,9338100.0,4464300.0,18456700,8216600.0,8649500.0,37628700.0,14064900.0,8710100.0,54.0,8033400.0,3473800.0,8446000.0,11087660.0,9420694.0,12433800.0,18368300.0,31608500.0,10014000.0,5228673.0,27367472.0,71904500.0,29779800.0,462084000.0,22580300.0,6449400.0,4366100.0,7195700.0,15372000.0,26280800.0,37095900.0,0.0,0.0
2015-03-23,150838800.0,3879900.0,44786000.0,7291700.0,3029700.0,22811900,4704000.0,3659000.0,23478600.0,6807700.0,5667000.0,5.0,4240300.0,1590500.0,4095200.0,4475173.0,6202885.0,9016000.0,15112900.0,17060500.0,9232000.0,2580131.0,11170108.0,26246100.0,10471800.0,426012000.0,9891100.0,2347800.0,1535500.0,4576500.0,8128000.0,13131700.0,19517100.0,0.0,0.0
2015-03-24,131369200.0,2555600.0,44564000.0,5217800.0,3319300.0,40073700,3978700.0,3216100.0,23263600.0,6677800.0,4493500.0,411.0,2979300.0,1799100.0,4026900.0,2669946.0,4546021.0,8390700.0,12128700.0,13485700.0,7549900.0,2500836.0,13692434.0,25513300.0,7598800.0,330480000.0,7478800.0,2791800.0,1217000.0,3054700.0,6534800.0,11419600.0,16077300.0,0.0,0.0
2015-03-25,206620800.0,4010100.0,68590000.0,8908000.0,3747900.0,35866900,4803000.0,4030100.0,27158700.0,9169400.0,6964700.0,11.0,3021400.0,2542000.0,4725800.0,2747515.0,5678629.0,8444100.0,14950900.0,22811300.0,6030500.0,3038916.0,14712243.0,43469900.0,8133400.0,542552000.0,8482200.0,2284500.0,1663600.0,3385500.0,13054300.0,14915500.0,19937700.0,0.0,0.0
2015-03-26,190291600.0,3146500.0,58600000.0,16181300.0,3627400.0,25730000,4238500.0,2971600.0,48928100.0,7276900.0,5915800.0,68.0,5495200.0,2377200.0,5409600.0,3090843.0,4598216.0,9972400.0,14039600.0,17359600.0,10445800.0,2452637.0,11090879.0,37495600.0,9479800.0,311920000.0,7311600.0,2124900.0,1489800.0,2856400.0,9487200.0,17919400.0,24801600.0,0.0,0.0
2015-03-27,158184800.0,2438900.0,52196000.0,9022600.0,2600300.0,17274900,6336900.0,2106400.0,20464500.0,5830300.0,5330400.0,172260.0,4921700.0,1539600.0,3879300.0,3549467.0,3637883.0,5847400.0,11755800.0,14384400.0,4642400.0,2060230.0,8932628.0,34401400.0,4403600.0,318288000.0,6440600.0,1454700.0,1467800.0,2608500.0,6521100.0,11716500.0,17152200.0,0.0,0.0
