Ticker,AAPL,AMGN,AMZN,AXP,BA,BTC-USD,CAT,CRM,CSCO,CVX,DIS,GC=F,GLD,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT,^IRX,^TNX,AAPL,AMGN,AMZN,AXP,BA,BTC-USD,CAT,CRM,CSCO,CVX,DIS,GC=F,GLD,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT,^IRX,^TNX
Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-25,117.9539795,195.8225403,152.8580017,129.3198853,216.4499969,47093.85156,202.7752686,228.6745453,39.59631729,83.92536163,187.8484344,1774.400024,165.8200073,292.4938354,227.4423523,175.0731659,96.46515656,142.089325,133.7336426,43.46682358,189.3180389,125.3382568,61.27029037,220.2310791,127.024704,13.27092075,112.3689651,214.6224365,134.3876648,305.1699829,206.4579163,42.32168198,41.17757034,0.03299999982,1.518000007,148199500,2769200,90676000,3607500,19283000,54506565949,4313000,8828900,21916700,13219200,12712000,1049,16359400,4244000,6545400,2901835,5953623,9719700,18127700,14211100,3131400,3150623,10906955,39542200,5674300,824436000,7790800,2021100,1259900,2780100,11404300,24165300,33324600,0,0
2021-02-26,118.2172241,193.5847473,154.6464996,127.6029053,212.0099945,46339.76172,197.3452454,214.2463074,39.03091431,81.99839783,185.9402313,1728.099976,161.8099976,285.1047058,230.1957245,172.9873047,93.67683411,138.3353882,130.1864166,42.44449615,186.1395416,122.7439728,59.62809372,223.4914246,126.5692749,13.67680264,109.6613998,217.4413605,132.117569,308.2785034,205.1443481,41.42279816,40.5440712,0.03500000015,1.460000038,164560400,3453500,85518000,3654800,12838400,350967941479,4461300,20372900,22144900,14454100,15844000,1593,23730400,3732200,7871200,3889308,9467346,14417500,19829200,23638400,5334000,4022507,17644862,37819200,6650200,500932000,17718800,2456100,1529100,5430000,11730000,23935200,42470700,0,0
2021-02-27,,,,,,46188.45313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45910946382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-28,,,,,,45137.76953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53443887451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-01,124.5833435,195.4093781,157.3070068,130.857605,224.3899994,49631.24219,200.8921204,215.2754669,39.94427109,83.67937469,191.7828369,1722.5,161.5299988,295.5779419,233.1183472,176.2956848,95.10250092,139.0861969,133.1321106,43.23291397,188.0448303,123.6905136,59.43102646,227.8770294,129.2644348,13.80370045,110.3360596,221.7560425,136.5578461,310.5335083,209.2396851,41.46775436,40.9965744,0.02800000086,1.44599998,116307900,2178100,54582000,2972100,18735400,53891300112,2871200,14027700,17394100,10439900,10709900,407,13828300,2957800,4528900,2690696,5977367,10551400,14845500,13901200,2827500,2200640,12594864,25324000,5717800,353184000,7740200,1862400,1183900,4198900,6982000,20550400,34634400,0,0
2021-03-02,121.9803772,194.247467,154.7265015,131.3669891,223.1399994,48378.98828,197.2904205,211.2478333,39.59631729,83.9991684,190.7598877,1733.099976,162.4100037,296.4916687,231.9332581,176.6034546,94.77957153,138.8242798,132.6987152,43.40618134,188.4240875,124.1813736,59.81694794,224.9244232,128.6728058,13.36939812,109.9898376,220.4264679,135.4046478,310.5242004,208.4090424,41.1831131,40.60335922,0.03500000015,1.414999962,102260900,2407500,51916000,2929100,11114400,47530897720,2854300,10211500,14833000,10643500,8371400,867,11424600,2850300,3740300,2652712,4732418,7610900,14221700,11755100,3016600,2717790,16047290,22812500,5292700,264116000,10206500,1482600,1221400,2568900,6155200,17184600,29230800,0,0
2021-03-03,118.997139,192.7412567,150.25,134.5179596,228.5599976,50538.24219,196.4585724,203.8556061,39.25707245,84.94215393,189.1074524,1715.300049,160.6199951,299.6183777,229.3224182,176.9710388,96.37850952,136.3798828,135.2640381,43.30221939,185.8505707,124.847435,60.18643951,218.8557587,126.0809555,12.76955318,109.3329163,215.1625366,136.8483887,308.8817749,207.5204315,41.48273849,39.81694031,0.03500000015,1.470000029,112966300,2610600,79774000,4393700,30426000,53220811975,2664000,11459000,16851100,14958200,8750300,501,13059900,3606300,4257500,2871490,7744898,8499600,14324100,15410700,3488600,2712289,13939972,34029500,4888400,377592000,7537000,1626900,1226200,3039700,6484600,22838700,41837400,0,0
2021-03-04,117.1155701,190.9940796,148.8784943,134.6028748,224.7100067,48561.16797,194.5023041,203.1925812,38.76124954,85.68833923,184.9468079,1700.199951,159.0399933,295.0134888,223.5929871,173.4916382,94.60627747,133.6299286,133.1852417,43.26755524,184.9656677,124.5459366,59.25860214,218.0575409,123.9961853,12.33624649,108.4363174,210.7998962,135.3138733,309.7539368,204.2846985,41.04827499,39.79822159,0.02800000086,1.549999952,178155000,3577000,109632000,4461700,26645100,52343816680,3568400,12800500,24653500,22994200,12542600,521,13870100,3647600,7154900,2969527,8439651,11033200,20093900,22036400,3926200,4228697,15975188,44727800,7181500,573344000,10228100,2100900,1107000,4991600,10658900,23692000,45348000,0,0
2021-03-05,118.3731995,196.0032654,150.022995,138.9896088,223.2200012,48927.30469,201.2578125,208.5660553,40.23132324,89.37827301,186.8746796,1698,159.1399994,293.2932739,225.9008179,176.6034546,96.74871826,136.275116,133.4947968,44.0039978,187.2502136,126.7685928,60.0468483,222.7412415,125.2264023,12.427248,111.836319,215.9551392,138.3466644,322.0861816,208.0613403,41.94715118,40.29442215,0.02800000086,1.55400002,153766600,3021300,107772000,5048300,20026600,48625928883,3602300,11406000,33197600,23638200,10266400,302,12821600,3740200,6351800,3032126,7268968,8331600,18465100,21310800,3608100,2706309,12241164,41872800,5957100,542840000,10490900,2087100,1458700,4563100,7582000,23598100,34073700,0,0
2021-03-06,,,,,,48912.38281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34363564661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-07,,,,,,51206.69141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43137459378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-08,113.4401932,196.072113,147.5975037,141.7631683,224.0299988,52246.52344,202.5558777,205.557724,41.32736206,89.99324799,198.5992126,1677.699951,157.4900055,299.4034119,230.8105469,177.5609131,98.30830383,137.4100189,135.2640381,44.74041748,188.8214111,128.8510437,60.9007988,218.692276,126.3627014,11.5613842,113.0169983,219.9246674,141.4248352,324.9350586,212.7555542,42.53889465,39.907444,0.03500000015,1.595999956,154376600,3101000,83700000,4283400,13836800,48597428048,3048700,9576400,34824500,18033600,25093200,1290,12134900,2998000,5037400,3412070,7572203,6546700,17133300,25084900,3157100,3079580,15391347,35267400,4983000,543112000,9224700,1971600,1374800,3419900,14750400,23648800,40988400,0,0
2021-03-09,118.0514832,197.087738,153.1425018,136.8858337,230.6100006,54824.11719,198.1862488,209.328064,41.65790176,89.78825378,191.3205414,1716.599976,160.8399963,296.1781921,236.0944824,177.4840088,97.81206512,137.6719208,134.3086548,44.06464005,188.3157196,127.0350418,60.87617111,224.8378448,127.6680069,12.49014473,112.0138779,225.6552429,140.438797,326.6145325,212.8424072,42.09696579,40.22263336,0.03500000015,1.546000004,129525800,3057300,80600000,5806100,21001200,50912227385,2902400,9732200,26512700,19010700,23331000,335,10382600,3324800,6625300,2804541,5867014,7461300,16238800,23082700,3646700,3399152,14189920,33080500,5977800,521824000,8859700,2317800,1420100,4277600,9228600,20956400,31988700,0,0
2021-03-10,116.9693375,197.9225464,152.8820038,138.4424744,245.3399963,56008.55078,202.0805054,209.7535858,42.00584412,91.32163239,191.8615417,1721.5,161.6600037,306.418396,238.7216644,182.0149078,100.7185364,138.9377441,137.2278442,44.56713867,192.6138916,129.3698425,61.38523865,223.5298615,129.2081299,12.43826962,113.0436249,225.674408,141.8631287,324.4060364,215.5565643,42.75613403,41.24934387,0.02999999933,1.519999981,111943300,2309800,60250000,3049800,27753400,57295577614,2435800,7186400,19841500,17389900,13662100,412,7962000,3153100,3798400,4596783,7581199,6635600,14342200,21331600,3447200,2835357,12827310,29746800,4519600,384376000,9070900,1690800,1491600,3012300,7822900,18848600,44929200,0,0
